proposal_id,building_uuid,label,heuristic_label,cluster
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-15,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-16,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-18,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-24,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-14,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-9,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-12,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-16,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-1,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-5,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-7,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-14,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-15,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-11,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-13,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-10,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-12,016980bc-6762-4022-bfbf-17df4112e10c,accepted,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-2,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-6,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-4,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-0,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,16
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-6,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,16
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-9,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,16
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-10,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,4
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-11,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,4
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-14,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,16
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-15,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,16
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-0:room-10:piece-0:seg-16,016980bc-6762-4022-bfbf-17df4112e10c,rejected,not_evaluated,16
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-0,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-3,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-5,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-6,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-1:room-10:piece-0:seg-7,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
016980bc-6762-4022-bfbf-17df4112e10c::v3-merged-roof-segment::segment-3:room-10:piece-0:seg-3,016980bc-6762-4022-bfbf-17df4112e10c,rejected,accepted,11
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-0:room-0:piece-0:seg-15,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,6
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-0:room-0:piece-0:seg-18,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,6
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-0,019e1376-9762-42d6-8520-b664b8c752df,rejected,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-4,019e1376-9762-42d6-8520-b664b8c752df,rejected,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-5,019e1376-9762-42d6-8520-b664b8c752df,rejected,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-8,019e1376-9762-42d6-8520-b664b8c752df,rejected,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-10,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-11,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-12,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-13,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-14,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,12
019e1376-9762-42d6-8520-b664b8c752df::v3-merged-roof-segment::segment-10:room-0:piece-0:seg-15,019e1376-9762-42d6-8520-b664b8c752df,accepted,accepted,19
05cecad4-119e-4dd2-beaf-d4af36973644::v3-merged-roof-segment::segment-0:room-0:piece-0:seg-6,05cecad4-119e-4dd2-beaf-d4af36973644,accepted,accepted,6
05cecad4-119e-4dd2-beaf-d4af36973644::v3-merged-roof-segment::segment-0:room-0:piece-0:seg-3,05cecad4-119e-4dd2-beaf-d4af36973644,rejected,accepted,6
05cecad4-119e-4dd2-beaf-d4af36973644::v3-merged-roof-segment::segment-0:room-0:piece-0:seg-5,05cecad4-119e-4dd2-beaf-d4af36973644,rejected,accepted,6
