uuid,surface_kind,surface_index,story,element_id,surface_area_m2,surface_y_max,overextend_fraction_xz,overextend_y_m,raw_y_max,n_overlapping_planes,n_overlapping_rooms
016980bc-6762-4022-bfbf-17df4112e10c,oblique,0,2,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,20.601,2.382,0.004,1.427,0.955,10,8
016980bc-6762-4022-bfbf-17df4112e10c,flat,1,2,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:1,12.646,0.955,0.0,-0.004,0.959,7,5
016980bc-6762-4022-bfbf-17df4112e10c,flat,2,2,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:2,15.898,0.924,0.0,-0.003,0.927,16,7
019e1376-9762-42d6-8520-b664b8c752df,oblique,0,1,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,40.566,1.926,0.027,1.007,0.919,5,2
019e1376-9762-42d6-8520-b664b8c752df,oblique,1,1,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,43.128,1.926,0.058,0.962,0.964,10,6
019e1376-9762-42d6-8520-b664b8c752df,flat,0,1,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:0,44.032,0.919,0.0,-0.003,0.922,4,1
019e1376-9762-42d6-8520-b664b8c752df,flat,1,1,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:1,3.61,0.925,0.001,-0.007,0.932,2,1
019e1376-9762-42d6-8520-b664b8c752df,flat,2,1,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:2,19.335,0.777,0.0,-0.0,0.777,3,1
019e1376-9762-42d6-8520-b664b8c752df,flat,3,0,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:3,2.504,0.768,0.0,1.267,-0.499,1,1
019e1376-9762-42d6-8520-b664b8c752df,flat,4,1,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:4,15.419,0.956,0.217,-0.008,0.964,4,2
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,0,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:0,12.7,0.987,0.194,0.068,0.919,1,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,1,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:1,9.285,1.017,0.0,0.0,1.017,1,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,2,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:2,46.122,1.023,0.0,0.0,1.023,1,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,3,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:3,12.998,0.987,0.0,0.049,0.938,1,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,4,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:4,3.709,0.987,0.0,0.044,0.943,1,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,5,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:5,9.084,1.008,0.131,-0.0,1.008,1,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,6,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:6,8.0,1.009,0.0,0.0,1.009,2,1
0430ebc2-236b-4b5d-991f-3e97ad246b78,flat,7,0,0430ebc2-236b-4b5d-991f-3e97ad246b78::roof-flat::flat:7,10.786,0.987,0.0,0.095,0.892,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,0,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:0,8.707,1.152,0.0,-0.0,1.152,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,1,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:1,3.021,1.144,0.0,0.017,1.127,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,2,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:2,7.316,1.153,0.0,0.0,1.153,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,3,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:3,8.603,1.144,0.0,0.02,1.124,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,4,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:4,8.52,1.144,0.252,0.035,1.109,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,5,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:5,31.293,1.144,0.0,0.013,1.131,1,1
05cecad4-119e-4dd2-beaf-d4af36973644,flat,6,0,05cecad4-119e-4dd2-beaf-d4af36973644::roof-flat::flat:6,4.857,1.167,0.001,-0.016,1.183,2,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,oblique,0,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-oblique::oblique:0,45.184,1.334,0.018,0.016,1.318,4,3
0a5032e9-85a0-4970-9143-c430bbdaa0f5,oblique,1,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-oblique::oblique:1,80.363,1.334,0.025,0.016,1.318,9,6
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,0,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:0,21.049,1.283,0.0,0.564,0.719,1,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,1,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:1,5.535,0.793,0.025,0.038,0.755,1,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,2,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:2,43.443,1.328,0.001,0.01,1.318,3,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,3,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:3,18.889,0.814,0.0,0.0,0.814,2,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,4,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:4,11.918,0.828,0.0,0.0,0.828,1,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,5,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:5,3.701,0.833,0.0,-0.0,0.833,1,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,flat,6,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-flat::flat:6,8.65,1.283,0.0,0.483,0.8,1,1
0b75d30e-c50c-4fc6-88ff-fce983078aa4,oblique,0,1,0b75d30e-c50c-4fc6-88ff-fce983078aa4::roof-oblique::oblique:0,24.053,5.913,0.003,-0.054,5.967,19,3
0b75d30e-c50c-4fc6-88ff-fce983078aa4,oblique,1,1,0b75d30e-c50c-4fc6-88ff-fce983078aa4::roof-oblique::oblique:1,19.868,5.913,0.0,-0.054,5.967,14,3
0b75d30e-c50c-4fc6-88ff-fce983078aa4,flat,2,0,0b75d30e-c50c-4fc6-88ff-fce983078aa4::roof-flat::flat:2,6.423,1.408,0.045,-0.024,1.432,3,1
0b75d30e-c50c-4fc6-88ff-fce983078aa4,flat,3,0,0b75d30e-c50c-4fc6-88ff-fce983078aa4::roof-flat::flat:3,8.618,1.435,0.0,0.0,1.435,1,1
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,flat,0,0,0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d::roof-flat::flat:0,8.506,1.615,0.001,0.458,1.157,1,1
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,flat,1,0,0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d::roof-flat::flat:1,23.593,1.615,0.0,0.477,1.138,1,1
