building_uuid,address,footprint_m2,covered_m2,coverage_frac,overlap_m2,overlap_frac_of_accepts,n_accepts,n_rejects,n_labels
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,"Villumstrupvej 7, 5853, rb k",258.45643509914487,0.0,0.0,0.0,0.0,0,12,12
2d80b27f-ca29-4b3e-9197-ad3c4af7cbfb,"Majsvej 79, 5800 Nyborg",86.53694899538255,0.0,0.0,0.0,0.0,0,8,8
37e9355f-29a7-4303-abae-240c55df13e4,"Humlebiv nget 50, 5260 Odense S",136.83379131868617,0.0,0.0,0.0,0.0,0,56,56
60fa343a-d19a-4d18-b939-33b80e790be6,"S husvej 28, 5270 Odense N",66.71875275471952,0.0,0.0,0.0,0.0,0,7,7
8ab161a4-c958-49c9-8ca8-7a997292d52f,"N sbyhave 48, 5270 Odense N",67.08959091690285,0.0,0.0,0.0,0.0,0,6,6
8e7e69b2-e1db-4482-8f21-93be6904a5f1,"Ta rnvej 1, 5492 Vissenbjerg",110.14179013085999,0.0,0.0,0.0,0.0,0,12,12
938d6ed6-d916-462b-ba37-f421feb2af21,"Bakkevej 2, 8783 Hornsyld",234.11510514465888,0.0,0.0,0.0,0.0,0,15,15
9829323a-4939-45bf-ae66-b950b18ddf52,"Tom Knudsensvej 45, 5953 Tranek r",69.48491101503157,0.0,0.0,0.0,0.0,0,6,6
98472f6b-45bc-4814-a4b8-914f8f6976dd,"Berildsvej 57, 5610 Assens",74.24079925971694,0.0,0.0,0.0,0.0,0,9,9
9dce7b8f-036f-42bb-9645-a1b5cc17fbd1,"K rneh jvej 48, 5260 Odense S",117.4900887951814,0.0,0.0,0.0,0.0,1,9,10
aa047931-2b45-497d-a093-f637a2934699,"Nellikevej 1, 5250 Odense SV",120.6301370839115,0.0,0.0,0.0,0.0,0,14,14
b4b6f3ed-7bfd-43a8-aeed-520b558bfa2b,"Lucernevej 23, 8700 Horsens",149.1013356347848,0.0,0.0,0.0,0.0,0,14,14
bb00df25-e7be-420e-8ad1-1f9be60a4c4a,"Ingridsvej 46, 6000 Kolding",125.46993818591883,0.0,0.0,0.0,0.0,1,10,11
bfd05652-9331-4260-886d-1b6779ee1bfa,"Christianslundsvej 107, 5800 Nyborg",148.43483831677494,0.0,0.0,0.0,0.0,1,38,39
c001b1ca-ea07-472d-b888-6ab457d4e7d9,"Hesteh jvej 56, 5260 Odense S",72.88782312021019,0.0,0.0,0.0,0.0,0,8,8
c2800052-b0e7-4c30-a881-f813cb0b2043,"Kikkenborgvej 58, 6000 Kolding",71.04571041393369,0.0,0.0,0.0,0.0,0,15,15
d7f1aa19-5ca9-4e1b-ac1a-c86d63f9ede7,"A sumvej 279, st, tv, 5240 Odense N ",52.59653753812608,0.0,0.0,0.0,0.0,0,6,6
e4fe9821-2270-4d23-bc74-703743b5d282,"Hj llundvej 24, 7361 Ejstrupholm",178.32177853949133,0.0,0.0,0.0,0.0,0,10,10
e93694c4-b9a9-4184-ab47-4d0d0a8504b2,"Kjeld Abellsvej 3, 7100 Vejle",68.20225763346485,0.0,0.0,0.0,0.0,1,8,9
f16973df-10b9-4369-9f0d-dd295a34d970," stervang 5, 7160 T rring",115.95405753810407,0.0,0.0,0.0,0.0,0,12,12
9c80d7ae-2804-4b2f-83bb-544927398846,"Vantingevej 27, 5750 Ringe",247.81759639209014,1.3578207586066158,0.005479113583437027,0.24108059578571228,0.15077890522979537,6,46,52
c3ddcac0-827d-48dc-9223-4b219d874fa5,"Tingvallavej 51, 5210 Odense NV",96.58236086893154,0.975597824607483,0.010101200838644147,0.0,0.0,2,36,38
795ceae3-b6ef-42bc-bd48-9b69f06e9de6,"Hedeskovvej 18, 8520 Lystrup",137.6143249938056,4.785759308989263,0.03477660708072857,0.0,0.0,3,19,22
feccbd0c-0420-4775-b5b7-49b99559947e,"Morelvej 68, 5250 Odense SV",96.9637497699424,4.204176662516622,0.04335823101408014,0.0,0.0,1,23,24
964a40ac-d9df-44e1-b64b-84e02b909004,"Morelvej 24, 5250 Odense SV",88.00651760101213,4.969098540000001,0.05646284701921728,0.0,0.0,2,10,12
9419424d-2dd9-4dd2-a9d9-e029e32c1f28,"N sby Skovv nge 18, 5270 Odense N",87.49267649015859,5.735710587707677,0.06555646504142373,0.0,0.0,2,87,89
05cecad4-119e-4dd2-beaf-d4af36973644,"Majsvej 11, 5800 Nyborg",72.36208978422353,4.85605017,0.06710765518906726,0.0,0.0,1,6,7
4fe068d2-f39e-47ed-8c15-35b6396862bf,"Stadionsvej 33, 8700 Horsens",96.94702186862692,7.1836443730614015,0.0740986596039636,2.7179212621515276,0.2744940913673073,4,40,44
9bb4ada4-60fb-4ab0-8e05-de49acc92623,"Rugstedvej 12, 7100 Vejle",116.02993590806084,10.122099503846291,0.08723696539716082,0.0,0.0,1,7,8
e721a943-1c4f-4bd6-b8a3-f9558de79921,"B gevej 5, 8723 L sning",76.23704311653202,6.663646097302722,0.08740693270484029,0.0,0.0,1,8,9
3ee81b85-a21f-4f55-a100-5995f36f84f9,"Toftega rdsvej 11, 5471 S nders ",108.40020039758791,9.561818266522973,0.08820849252540441,0.0,0.0,1,8,9
a6cb04fa-e84a-4641-a667-b4dd05dd7d41,"Antilopevej 4, 7100 Vejle",101.66214382650881,10.847738406396639,0.10670381321988262,0.0,0.0,2,9,11
d39db17d-0f12-472b-b4ae-0e6e5ce702e1,"Ejlskovvej 17, 5471 S nders ",177.99885827001555,19.978434411149234,0.11223911549389226,0.0,0.0,2,36,38
0a5032e9-85a0-4970-9143-c430bbdaa0f5,"H P, Simonsens Alle, 85, 5250 Odense SV",124.95878729975277,16.426401706924878,0.13145455443258272,0.0,0.0,1,31,32
ed5231c3-375e-426e-b341-62f6d2b0b3f5," sterga rdsvej 2, 7080 B rkop",108.43825161814202,14.964181414168843,0.13799725826329437,3.552713678800501e-15,2.3741450203461257e-16,2,22,24
121ff4c2-ec13-46b8-b557-b31775259e5d,"Valn ddevej 57, 5270 Odense N",78.67120742774924,11.124809243285672,0.1414089043123251,1.7763568394002505e-15,1.5967526278910017e-16,4,12,16
107e8496-9bff-42bb-b776-720f44b70e55,"Serridslevvej 75, 8700 Horsens",96.48791887015874,13.678873248312675,0.14176773018309138,3.064798676355451e-05,2.2405294310054864e-06,2,7,9
e9f0631f-ae34-4d30-af21-d3369327755f,"S vangsvej 16, 5300 Kerteminde",227.9447139354303,33.610430158471885,0.14744992142258093,1.5305995717085352e-05,4.55394015329746e-07,12,342,354
1825a812-09d0-4407-9265-182a07053cfc,"Morelvej 7, 5250 Odense SV",145.34227332193248,23.07505607156527,0.1587635554623129,0.0,0.0,1,11,12
945b16b9-0ebf-409e-af08-aab7672801d2,"Mads Hansensgade 29, 5690 Tommerup",92.64966893453241,15.501064550347255,0.16730836417020042,0.0,0.0,3,7,10
a4d6eef3-6107-45a3-bd37-3cf2ef4e9efb,"Skovvej 32, 5462 Morud",133.116513657988,23.340339662254607,0.17533767239594475,0.0,0.0,2,20,22
56108837-05d5-4fe4-bfd5-aec6b649d825,"Lotusvej 37, 5250 Odense SV",71.5470734625285,13.577980780097498,0.18977688566407572,0.0,0.0,2,14,16
5a97cb51-78cd-40c7-9dd5-423bdea306a6,"N rre Landevej 23, 6470 Sydals",153.0676330027575,32.13995628386894,0.20997225640308909,5.3332163530076855,0.1423209186125695,9,45,54
fa45599d-b1aa-4d6d-b4b4-2c823108398f,"Vestergade 61, 5560 Aarup",178.14691916444195,39.707152720436795,0.22288992089604615,0.5390509872406426,0.01339383438885224,4,26,30
99ce0ab2-eaac-406c-9fa2-707d7dbe30c5,"Pilevej 30, 5792 A rslev",179.25710072145492,43.935411589869354,0.24509718952857534,2.1163986545502667e-05,4.817065684563049e-07,5,0,5
cb711a0b-6e8d-4ae6-b008-af3297446dcc,"Kastanievej 6, 5400 Bogense",128.6123276424688,32.349358979426995,0.2515261139612948,0.0,0.0,1,25,26
0d3f2993-8386-4130-8f1c-b2938c410828,"Ladega rdsgade 19, 5610 Assens",156.10578587189178,44.35760891919164,0.2841509600137032,1.3901618352463174e-05,3.133986329389444e-07,51,183,234
71ee522c-1e78-411f-b3ce-33d59516038f,"Reventlowsvej 90, 5600 Faaborg",149.45766524068313,52.500923450247925,0.35127621835722955,30.825480664693416,0.36993652842828084,7,33,40
73465f84-d5f5-4b84-8509-0e818beb5ecd,"Grejsdalen 6, 5800 Nyborg",128.8332218534394,46.50064594662989,0.36093676209952275,7.105427357601002e-15,1.5280276677782287e-16,8,18,26
d8308bfc-c2c1-42bd-8503-282571708b8c,"Nyga rdsvej 17, 7100 Vejle",154.13206356224472,61.35799861663367,0.39808718055510134,1.1904050680300315e-05,1.9400972390210322e-07,15,49,64
6203a969-742b-4935-bc4d-8eae644b8f73,"Skovstrupvej 63, 5690 Tommerup",166.4460207373834,66.49833829360666,0.3995189431324824,0.0001895349141278757,2.8502121823903807e-06,12,50,62
517846b1-d1f1-4faa-8407-e80dcdbcc003,"Slagstrupv nget 6, 5471 S nders ",195.60604461550415,78.42159178350398,0.4009159938674417,0.00033754806727870346,4.3042560946382205e-06,23,95,118
38158927-652c-4d01-9aa3-770956648d85,"Fundersvej 3, 7100 Vejle",79.3914807925572,33.66429020227622,0.4240289999154693,6.514440659799448e-05,1.935115225796641e-06,8,18,26
19459014-f39b-4bf6-945e-c5b50930dea3,"Langagergyden 5, 5792 A rslev",131.20982925744312,56.92900419012588,0.4338775876190425,0.0001115698993174874,1.959803833732302e-06,12,20,32
c7898e89-b45b-47f3-96b7-8c1fa96ef9fd,"Skovvej 13, 5300 Kerteminde",56.15767355437304,26.008968934230367,0.46314185200439145,0.15427449742416144,0.005896612085851212,11,42,53
97571caa-1065-4ac5-a385-2ec9758026dd,"Jupitervej 11, 7100 Vejle",153.15904058346223,73.17737675973014,0.47778685790247544,0.00013303745134862766,1.8180100924089077e-06,10,20,30
f932e0d3-b002-4f89-97e7-ec54d4703506,"Strandgade 28, 5683 Haarby",62.19976593792087,30.711352002187766,0.4937534979285863,3.1829776688141465e-05,1.0364162312677355e-06,6,24,30
fb279aa5-092f-4146-83ff-b557415e7ba4,"Hedemarken 14, 5600 Faaborg",155.9281875050177,87.94100507567926,0.5639840139413496,0.0,0.0,7,48,55
5fdc8f48-e5d6-4951-915d-52ebf282eedb,"Lindevej 12, 5800 Nyborg",103.18272415533319,63.756900498146635,0.6179028613565757,0.6560925205407528,0.010185717039268901,42,82,124
bc2779a4-d0a2-4ba8-abbf-10129d3f82de,"Nr, Bjertvej 154, 6000 Kolding",123.64206299952349,80.76004184862836,0.6531761108591306,109.95683889662669,0.5765448683249942,32,93,125
992198d7-4dfe-4ecd-9fa0-b66fa6cac3fd,"Kirseb rhaven 51, 5560 Aarup",130.4661033849793,90.13991494871834,0.6909067766263666,0.01907570179322704,0.00021157847548639125,12,13,25
