uuid,address,n_rooms,n_planes,n_oblique_ge_5deg,n_steep_ge_30deg,oblique_share,incl_p50,incl_p95,area_xz_sum_m2
016980bc-6762-4022-bfbf-17df4112e10c,"Rouseh jvej 5, 5250 Odense SV",12,43,24,17,0.558,14.82,90.0,132.272
019e1376-9762-42d6-8520-b664b8c752df,"Kielshusvej 18, 5250 Odense SV",7,30,22,8,0.733,20.11,90.0,95.336
0430ebc2-236b-4b5d-991f-3e97ad246b78,"Vesterled 13, 6000 Kolding",8,9,0,0,0.0,0.0,0.0,109.027
05cecad4-119e-4dd2-beaf-d4af36973644,"Majsvej 11, 5800 Nyborg",7,8,1,0,0.125,0.0,15.97,70.172
0a5032e9-85a0-4970-9143-c430bbdaa0f5,"H P, Simonsens Alle, 85, 5250 Odense SV",9,15,7,4,0.467,0.0,90.0,126.363
0b75d30e-c50c-4fc6-88ff-fce983078aa4," sterbrogade 63, 5600 Faaborg",6,44,35,27,0.795,45.49,90.0,98.362
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,"S nderhedevej 6, 7173 Vonge",7,14,6,2,0.429,1.9,90.0,69.763
0d3f2993-8386-4130-8f1c-b2938c410828,"Ladega rdsgade 19, 5610 Assens",14,67,47,43,0.701,47.97,90.0,249.601
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,"Villumstrupvej 7, 5853, rb k",12,15,1,1,0.067,0.0,28.0,248.645
0fe789ce-e653-4828-863c-0f6ce7fee21d,"Reventlowsvej 50, 5600 Faaborg",9,39,29,17,0.744,21.62,90.0,109.431
107e8496-9bff-42bb-b776-720f44b70e55,"Serridslevvej 75, 8700 Horsens",9,9,2,0,0.222,0.0,18.47,93.993
10d27382-8fce-456b-897d-3d5194ff5de5,"N rreballevej 1, 5600 Faaborg",9,9,0,0,0.0,0.0,0.0,84.804
117d172e-00d6-436e-8df2-050f25977602,"A l kkehaven 41, 5000 Odense C",9,64,51,43,0.797,45.09,90.0,104.223
121ff4c2-ec13-46b8-b557-b31775259e5d,"Valn ddevej 57, 5270 Odense N",7,7,1,0,0.143,0.0,17.26,76.608
146ecf8b-ffa1-4239-ba58-040b61861fd9,"Mesterr kken 44, 5350 Rynkeby",7,32,25,21,0.781,41.65,90.0,112.678
16784bad-2cd9-4f4c-bb26-60355981cfe2,"Bottrupvej 5, 8723 L sning",11,46,33,22,0.717,25.91,90.0,142.389
