uuid,element_id,story,room_index,plane_index,n_corners,inclination_deg,azimuth_deg,centroid_x,centroid_y,centroid_z,y_min,y_max,y_range,area_xz_m2,area_3d_m2
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0,0,0,0,4,0.0,,-0.2367,-4.3879,1.3081,-4.3879,-4.3879,0.0,16.7616,16.7616
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:1:0,0,1,0,4,0.0,,2.9254,-4.3525,-0.5771,-4.3525,-4.3525,0.0,10.2898,10.2898
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:0,0,2,0,3,0.0,,-3.2859,-4.2776,-2.2846,-4.2776,-4.2776,0.0,0.3033,0.3033
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:1,0,2,1,3,3.652,305.721,-4.0589,-4.3056,-1.2508,-4.3616,-4.2776,0.084,0.763,0.7646
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:2,0,2,2,3,4.185,215.721,-3.9284,-4.3056,-1.8207,-4.3616,-4.2776,0.084,0.7554,0.7574
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:3,0,2,3,3,9.861,150.616,-3.2061,-4.3056,-1.8707,-4.3616,-4.2776,0.084,0.3045,0.3091
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:4,0,2,4,5,2.436,305.708,-2.841,-4.3297,-0.34,-4.3702,-4.2916,0.0786,2.8119,2.8145
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:5,0,2,5,3,9.355,142.299,-2.4923,-4.3336,-1.181,-4.3616,-4.2776,0.084,0.4741,0.4805
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:0,0,3,0,3,0.0,,-0.2433,-4.3666,-1.5881,-4.3666,-4.3666,0.0,0.319,0.319
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:1,0,3,1,3,0.0,,-1.3984,-4.3666,-0.7549,-4.3666,-4.3666,0.0,0.319,0.319
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:2,0,3,2,4,0.0,,-1.3003,-3.9841,-2.7491,-3.9841,-3.9841,0.0,2.4817,2.4817
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:3,0,3,3,3,0.0,,-2.5375,-4.3666,-2.3342,-4.3666,-4.3666,0.0,1.2409,1.2409
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:4,0,3,4,3,19.702,125.803,-1.7956,-4.1116,-1.9143,-4.3666,-3.9841,0.3825,1.2409,1.3181
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:5,0,3,5,3,32.633,215.8,-0.6486,-4.1116,-1.5413,-4.3666,-3.9841,0.3825,0.319,0.3788
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:6,0,3,6,3,36.265,186.588,-1.2261,-4.2391,-1.1247,-4.3666,-3.9841,0.3825,0.319,0.3957
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:7,0,3,7,3,90.0,101.113,-2.2487,-4.2391,-2.5425,-4.3666,-3.9841,0.3825,0.0,0.4891
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:8,0,3,8,3,90.0,245.016,-0.3598,-4.2391,-1.7495,-4.3666,-3.9841,0.3825,0.0,0.2341
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:4:0,0,4,0,4,0.0,,0.721,-4.3663,-3.6413,-4.3663,-4.3663,0.0,9.927,9.927
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:4:1,0,4,1,4,22.604,215.802,1.9177,-4.4413,-2.279,-4.5163,-4.3663,0.15,0.9755,1.0566
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:4:2,0,4,2,3,90.0,125.795,0.7846,-4.4663,-1.5357,-4.5163,-4.3663,0.15,0.0,0.027
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:5:0,1,5,0,6,0.0,,0.9498,-1.5762,-0.1348,-1.5762,-1.5762,0.0,27.0144,29.0933
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:6:0,1,6,0,6,0.0,,0.8519,-1.5856,-2.8964,-1.5856,-1.5856,0.0,10.7592,10.8733
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:0,1,7,0,3,0.0,,-1.7752,-1.0902,-3.5027,-1.0902,-1.0902,0.0,0.3877,0.3877
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:1,1,7,1,3,0.0,,-1.5132,-1.5484,-0.5609,-1.5484,-1.5484,0.0,0.2375,0.2375
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:2,1,7,2,6,14.823,124.649,-1.8644,-1.2419,-2.0999,-1.5476,-1.084,0.4636,4.6369,4.7966
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:3,1,7,3,3,16.659,258.818,-1.1187,-1.2429,-3.092,-1.5484,-1.0902,0.4582,0.9278,0.9684
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:4,1,7,4,5,27.365,303.817,-0.6598,-1.2733,-2.0098,-1.5519,-1.0852,0.4667,1.1576,1.3405
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:5,1,7,5,3,58.667,214.679,-0.3229,-1.3957,-1.3844,-1.5484,-1.0902,0.4582,0.1282,0.2464
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:6,1,7,6,3,58.75,205.371,-1.0945,-1.3957,-0.9636,-1.5484,-1.0902,0.4582,0.2399,0.4625
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:7,1,7,7,3,90.0,304.668,-0.1305,-1.7169,-2.173,-2.0538,-1.5484,0.5054,0.0,0.1339
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:7:8,1,7,8,3,90.0,34.675,-2.6675,-1.3957,-3.2275,-1.5484,-1.0902,0.4582,0.0,0.3902
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:8:0,1,8,0,4,0.0,,-3.365,-1.662,-0.9325,-1.662,-1.662,0.0,3.9211,3.9211
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:0,2,9,0,8,0.0,,1.2982,0.9552,-1.63,0.9552,0.9552,0.0,9.6891,10.4345
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:1,2,9,1,4,45.33,35.601,0.6831,0.4675,-3.66,-0.0233,0.9587,0.982,2.9682,4.222
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:2,2,9,2,4,90.0,215.235,2.9689,0.8502,-0.7393,0.7452,0.9552,0.21,0.0,0.5724
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:3,2,9,3,4,90.0,35.227,1.7277,0.8502,0.1374,0.7452,0.9552,0.21,0.0,0.0658
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:0,2,10,0,4,0.0,,-1.4849,0.9245,0.4267,0.9245,0.9245,0.0,9.4464,9.4464
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:1,2,10,1,4,40.328,215.234,0.7861,0.2986,1.3569,-0.0591,0.6563,0.7154,2.2221,2.9148
