uuid,element_id,story,room_index,plane_index,inclination_deg,azimuth_deg,area_xz_m2,coverage_oblique,coverage_flat,best_oblique_id,best_oblique_frac,best_flat_id,best_flat_frac,normal_dot_best_oblique,classification
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0,0,0,0,0.0,,16.762,0,0,,0.0,,0.0,,uncovered
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:6:0,1,6,0,0.0,,10.759,0,1.0,,0.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:3,1.0,,flat_matched
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:0,2,9,0,0.0,,9.689,0.542,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,0.542,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:5,1.0,0.737,flat_matched
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:1,2,9,1,45.33,35.6,2.968,0,1.0,,0.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:6,1.0,,oblique_covered_by_flat
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:0,2,10,0,0.0,,9.446,0.552,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,0.552,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:5,1.0,0.737,flat_matched
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:1,2,10,1,40.33,215.23,2.222,1.0,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:6,1.0,0.999,oblique_matched
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:2,2,10,2,44.81,212.4,1.487,1.0,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:6,1.0,0.999,oblique_matched
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:3,2,10,3,47.1,35.03,2.742,0,1.0,,0.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:6,1.0,,oblique_covered_by_flat
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:11:0,2,11,0,0.0,,2.604,0.471,1.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,0.471,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:5,1.0,0.737,flat_matched
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:11:1,2,11,1,44.19,35.08,2.096,0,1.0,,0.0,016980bc-6762-4022-bfbf-17df4112e10c::roof-flat::flat:5,1.0,,oblique_covered_by_flat
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:0,1,0,0,0.0,,36.739,1.0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,0.71,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.931,flat_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:1,1,0,1,18.94,190.74,1.189,1.0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.999,oblique_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:2,1,0,2,22.32,13.35,1.988,0.999,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,0.999,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.999,oblique_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:3,1,0,3,23.96,193.08,4.114,1.0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.999,oblique_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:1:0,1,1,0,0.0,,4.543,1.0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.91,flat_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:1:1,1,1,1,24.78,12.69,4.755,1.0,0.397,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,0.397,1.0,oblique_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:3:0,1,3,0,0.0,,2.884,1.0,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:4,1.0,0.91,flat_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:3:1,1,3,1,26.6,14.49,0.726,0.998,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,0.998,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.999,oblique_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:4:0,1,4,0,0.0,,12.04,0.77,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,0.428,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.931,flat_matched
019e1376-9762-42d6-8520-b664b8c752df,019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:4:1,1,4,1,11.06,193.08,5.031,0.584,1.0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,0.584,019e1376-9762-42d6-8520-b664b8c752df::roof-flat::flat:5,1.0,0.984,oblique_matched
