uuid,story,room_index,n_planes,n_oblique_raw,raw_majority_class,pipeline_class,raw_vs_pipeline_agrees,incl_p50_deg,classification_counts
016980bc-6762-4022-bfbf-17df4112e10c,0,0,1,0,flat,none,False,0.0,"{""uncovered"": 1}"
016980bc-6762-4022-bfbf-17df4112e10c,1,6,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
016980bc-6762-4022-bfbf-17df4112e10c,2,9,2,1,flat,mixed,False,22.66,"{""flat_matched"": 1, ""oblique_covered_by_flat"": 1}"
016980bc-6762-4022-bfbf-17df4112e10c,2,10,4,3,oblique,mixed,False,42.57,"{""flat_matched"": 1, ""oblique_matched"": 2, ""oblique_covered_by_flat"": 1}"
016980bc-6762-4022-bfbf-17df4112e10c,2,11,2,1,flat,flat,True,22.09,"{""flat_matched"": 1, ""oblique_covered_by_flat"": 1}"
019e1376-9762-42d6-8520-b664b8c752df,1,0,4,3,oblique,mixed,False,20.63,"{""flat_matched"": 1, ""oblique_matched"": 3}"
019e1376-9762-42d6-8520-b664b8c752df,1,1,2,1,flat,mixed,False,12.39,"{""flat_matched"": 1, ""oblique_matched"": 1}"
019e1376-9762-42d6-8520-b664b8c752df,1,3,2,1,flat,mixed,False,13.3,"{""flat_matched"": 1, ""oblique_matched"": 1}"
019e1376-9762-42d6-8520-b664b8c752df,1,4,3,2,oblique,mixed,False,11.06,"{""flat_matched"": 1, ""oblique_matched"": 1, ""oblique_covered_by_flat"": 1}"
019e1376-9762-42d6-8520-b664b8c752df,0,5,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
019e1376-9762-42d6-8520-b664b8c752df,1,6,2,1,flat,mixed,False,12.23,"{""flat_matched"": 1, ""oblique_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,0,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,1,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,2,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,3,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,4,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,5,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,6,2,0,flat,flat,True,0.0,"{""flat_matched"": 2}"
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,7,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
05cecad4-119e-4dd2-beaf-d4af36973644,0,0,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
05cecad4-119e-4dd2-beaf-d4af36973644,0,1,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
05cecad4-119e-4dd2-beaf-d4af36973644,0,2,1,0,flat,flat,True,0.0,"{""flat_matched"": 1}"
