uuid,story,chain_id,edge_count,total_length_m,azimuth_deg,y_mean,start_xz,end_xz,member_plane_ids
016980bc-6762-4022-bfbf-17df4112e10c,0,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::0:0,1,4.120255,125.802142,-4.3879,"[2.6241, 1.7527]","[-0.7176, 4.163]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,0,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::0:1,1,4.068106,35.802258,-4.3879,"[-0.7176, 4.163]","[-3.0974, 0.8636]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,0,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::0:2,1,4.120255,125.802142,-4.3879,"[-3.0974, 0.8636]","[0.2443, -1.5467]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,0,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::0:3,1,4.068106,35.802258,-4.3879,"[0.2443, -1.5467]","[2.6241, 1.7527]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:0,1,3.251467,34.674424,-1.5856,"[0.4795, -1.4554]","[-1.3703, -4.1294]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:6:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1,1,3.034408,124.674136,-1.5856,"[-1.3703, -4.1294]","[1.1252, -5.8557]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:6:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:2,1,3.58331,34.674625,-1.5856,"[1.1252, -5.8557]","[3.1638, -2.9088]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:6:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3,1,2.690555,124.674682,-1.5856,"[3.1638, -2.9088]","[0.9511, -1.3781]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::1:6:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:0,2,4.175662,125.625856,0.87384,"[4.081078, -1.527027]","[0.688748, 0.903959]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:1"", ""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:1,1,1.491466,35.236239,0.9552,"[1.5998, 0.2277]","[0.7393, -0.9905]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:2,1,3.246284,35.2332,0.9552,"[2.2093, -4.1772]","[4.0821, -1.5256]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:3,1,3.089908,125.417828,-0.0183,"[-0.853, -3.157]","[1.6651, -4.9477]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:9:1""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:4,1,3.084558,35.233215,0.9245,"[-1.845, 2.5173]","[-3.6245, -0.0022]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:0""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:5,1,4.136986,125.234033,-0.0591,"[2.1061, 0.9404]","[-1.273, 3.3271]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:1""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:6,1,3.000294,125.126095,-0.05915,"[-4.1473, -0.7424]","[-1.6934, -2.4687]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:10:3""]"
016980bc-6762-4022-bfbf-17df4112e10c,2,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:7,1,0.980181,125.113655,-1.1702,"[-2.3168, -3.487]","[-1.515, -4.0508]","[""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::2:11:1""]"
019e1376-9762-42d6-8520-b664b8c752df,0,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::0:0,1,1.110507,13.078921,-0.4987,"[5.0456, -5.5477]","[5.2969, -4.466]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::0:5:0""]"
019e1376-9762-42d6-8520-b664b8c752df,0,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::0:1,1,2.254976,103.076699,-0.4987,"[5.2969, -4.466]","[3.1004, -3.9558]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::0:5:0""]"
019e1376-9762-42d6-8520-b664b8c752df,0,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::0:2,1,1.110387,13.075062,-0.4987,"[3.1004, -3.9558]","[2.8492, -5.0374]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::0:5:0""]"
019e1376-9762-42d6-8520-b664b8c752df,0,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::0:3,1,2.254901,103.079749,-0.4987,"[2.8492, -5.0374]","[5.0456, -5.5477]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::0:5:0""]"
019e1376-9762-42d6-8520-b664b8c752df,1,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:0,1,2.063321,13.078495,0.9192,"[-3.1685, -0.9994]","[-2.7016, 1.0104]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:0""]"
019e1376-9762-42d6-8520-b664b8c752df,1,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:1,3,3.756192,12.821343,0.938349,"[2.001014, -2.175147]","[2.453434, -0.187244]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:0"", ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:2:0"", ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:3:0""]"
019e1376-9762-42d6-8520-b664b8c752df,1,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2,4,8.558559,102.751419,0.756234,"[2.283753, -0.991785]","[8.34257, -2.362913]","[""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:0:0"", ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:1:0"", ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:2:0"", ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-raw::1:4:0""]"
