uuid,story,candidate_count,committed_count,split_target_count,top_retention_targets,top_orientation_targets
016980bc-6762-4022-bfbf-17df4112e10c,1,0,0,0,"[{""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::d7b2b8ea7619"", ""retention_support_score"": 0.581587, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::aac4bc192ba0"", ""retention_support_score"": 0.578989, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::bca2326594b1"", ""retention_support_score"": 0.57413, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::d7b2b8ea7619"", ""orientation_support_score"": 0.709597, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::aac4bc192ba0"", ""orientation_support_score"": 0.703102, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::bca2326594b1"", ""orientation_support_score"": 0.690955, ""target_kind"": ""ridge_eave_plane_group""}]"
016980bc-6762-4022-bfbf-17df4112e10c,2,2,1,0,"[{""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.983232, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0"", ""retention_support_score"": 0.846362, ""target_kind"": ""committed_oblique""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.809072, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.991072, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.904406, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0"", ""orientation_support_score"": 0.81784, ""target_kind"": ""committed_oblique""}]"
019e1376-9762-42d6-8520-b664b8c752df,1,2,2,0,"[{""element_id"": ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.969774, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0"", ""retention_support_score"": 0.951906, ""target_kind"": ""committed_oblique""}, {""element_id"": ""019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::5678e46008d3"", ""retention_support_score"": 0.942443, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""019e1376-9762-42d6-8520-b664b8c752df::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.954467, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0"", ""orientation_support_score"": 0.935414, ""target_kind"": ""committed_oblique""}, {""element_id"": ""019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::5678e46008d3"", ""orientation_support_score"": 0.917353, ""target_kind"": ""ridge_eave_plane_group""}]"
05cecad4-119e-4dd2-beaf-d4af36973644,0,0,0,0,"[{""element_id"": ""05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa"", ""retention_support_score"": 0.968945, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa"", ""orientation_support_score"": 0.948321, ""target_kind"": ""ridge_eave_plane_group""}]"
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,2,2,0,"[{""element_id"": ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b"", ""retention_support_score"": 0.936468, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210"", ""retention_support_score"": 0.936, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-oblique::oblique:0"", ""retention_support_score"": 0.934571, ""target_kind"": ""committed_oblique""}]","[{""element_id"": ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b"", ""orientation_support_score"": 0.919049, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::roof-oblique::oblique:1"", ""orientation_support_score"": 0.918136, ""target_kind"": ""committed_oblique""}, {""element_id"": ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210"", ""orientation_support_score"": 0.917879, ""target_kind"": ""ridge_eave_plane_group""}]"
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,1,0,0,"[{""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ridge-eave-candidate::plane-group::3a188ce47436"", ""retention_support_score"": 0.873687, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ridge-eave-candidate::plane-group::1ae3db3e3fcd"", ""retention_support_score"": 0.868384, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ceiling-oblique::ceiling-oblique:2"", ""retention_support_score"": 0.799992, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ceiling-oblique::ceiling-oblique:2"", ""orientation_support_score"": 0.999996, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ridge-eave-candidate::plane-group::3a188ce47436"", ""orientation_support_score"": 0.83839, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ridge-eave-candidate::plane-group::1ae3db3e3fcd"", ""orientation_support_score"": 0.825134, ""target_kind"": ""ridge_eave_plane_group""}]"
0b75d30e-c50c-4fc6-88ff-fce983078aa4,1,2,2,0,"[{""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.605939, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::roof-oblique::oblique:1"", ""retention_support_score"": 0.60096, ""target_kind"": ""committed_oblique""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.527345, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.648802, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::roof-oblique::oblique:1"", ""orientation_support_score"": 0.646312, ""target_kind"": ""committed_oblique""}, {""element_id"": ""0b75d30e-c50c-4fc6-88ff-fce983078aa4::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.59278, ""target_kind"": ""candidate_oblique""}]"
0d3f2993-8386-4130-8f1c-b2938c410828,0,0,0,0,"[{""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ridge-eave-candidate::plane-group::82e4db5854b1"", ""retention_support_score"": 0.583934, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ridge-eave-candidate::plane-group::105777bc81d0"", ""retention_support_score"": 0.579185, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ridge-eave-candidate::plane-group::a28ebde6bbf9"", ""retention_support_score"": 0.578036, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ridge-eave-candidate::plane-group::82e4db5854b1"", ""orientation_support_score"": 0.653877, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ridge-eave-candidate::plane-group::105777bc81d0"", ""orientation_support_score"": 0.642005, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ridge-eave-candidate::plane-group::a28ebde6bbf9"", ""orientation_support_score"": 0.639132, ""target_kind"": ""ridge_eave_plane_group""}]"
0d3f2993-8386-4130-8f1c-b2938c410828,1,4,3,0,"[{""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.894023, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::roof-oblique::oblique:1"", ""retention_support_score"": 0.834752, ""target_kind"": ""committed_oblique""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ceiling-oblique::ceiling-oblique:3"", ""retention_support_score"": 0.820715, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.880318, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ceiling-oblique::ceiling-oblique:3"", ""orientation_support_score"": 0.870572, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0d3f2993-8386-4130-8f1c-b2938c410828::ceiling-oblique::ceiling-oblique:2"", ""orientation_support_score"": 0.823435, ""target_kind"": ""candidate_oblique""}]"
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,0,0,0,"[{""element_id"": ""0f911051-6084-4f0d-8f9a-24fc5b20f6ff::ridge-eave-candidate::plane-group::03e5930b89ea"", ""retention_support_score"": 0.979959, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""0f911051-6084-4f0d-8f9a-24fc5b20f6ff::ridge-eave-candidate::plane-group::03e5930b89ea"", ""orientation_support_score"": 0.985073, ""target_kind"": ""ridge_eave_plane_group""}]"
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,2,2,0,"[{""element_id"": ""0fe789ce-e653-4828-863c-0f6ce7fee21d::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.81611, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0fe789ce-e653-4828-863c-0f6ce7fee21d::roof-oblique::oblique:0"", ""retention_support_score"": 0.783142, ""target_kind"": ""committed_oblique""}, {""element_id"": ""0fe789ce-e653-4828-863c-0f6ce7fee21d::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.717225, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""0fe789ce-e653-4828-863c-0f6ce7fee21d::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.8518, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""0fe789ce-e653-4828-863c-0f6ce7fee21d::roof-oblique::oblique:0"", ""orientation_support_score"": 0.835316, ""target_kind"": ""committed_oblique""}, {""element_id"": ""0fe789ce-e653-4828-863c-0f6ce7fee21d::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.793594, ""target_kind"": ""candidate_oblique""}]"
107e8496-9bff-42bb-b776-720f44b70e55,0,1,1,0,"[{""element_id"": ""107e8496-9bff-42bb-b776-720f44b70e55::ridge-eave-candidate::plane-group::c1d377395f17"", ""retention_support_score"": 0.966135, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""107e8496-9bff-42bb-b776-720f44b70e55::roof-oblique::oblique:0"", ""retention_support_score"": 0.958639, ""target_kind"": ""committed_oblique""}, {""element_id"": ""107e8496-9bff-42bb-b776-720f44b70e55::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.950077, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""107e8496-9bff-42bb-b776-720f44b70e55::ridge-eave-candidate::plane-group::c1d377395f17"", ""orientation_support_score"": 0.950259, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""107e8496-9bff-42bb-b776-720f44b70e55::roof-oblique::oblique:0"", ""orientation_support_score"": 0.940195, ""target_kind"": ""committed_oblique""}, {""element_id"": ""107e8496-9bff-42bb-b776-720f44b70e55::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.936081, ""target_kind"": ""candidate_oblique""}]"
117d172e-00d6-436e-8df2-050f25977602,1,2,2,0,"[{""element_id"": ""117d172e-00d6-436e-8df2-050f25977602::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.951883, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""117d172e-00d6-436e-8df2-050f25977602::roof-oblique::oblique:0"", ""retention_support_score"": 0.841389, ""target_kind"": ""committed_oblique""}, {""element_id"": ""117d172e-00d6-436e-8df2-050f25977602::roof-oblique::oblique:1"", ""retention_support_score"": 0.702323, ""target_kind"": ""committed_oblique""}]","[{""element_id"": ""117d172e-00d6-436e-8df2-050f25977602::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.95926, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""117d172e-00d6-436e-8df2-050f25977602::roof-oblique::oblique:0"", ""orientation_support_score"": 0.843385, ""target_kind"": ""committed_oblique""}, {""element_id"": ""117d172e-00d6-436e-8df2-050f25977602::roof-oblique::oblique:1"", ""orientation_support_score"": 0.808811, ""target_kind"": ""committed_oblique""}]"
