uuid,story,target_kind,target_index,element_id,target_area_xz_m2,target_azimuth_deg,target_inclination_deg,raw_match_count,raw_xz_coverage,raw_room_trust_mean,raw_normal_dot_p50,raw_azimuth_delta_p50_deg,raw_inclination_delta_p50_deg,ridge_edge_support_len_m,eave_edge_support_len_m,supported_eave_chain_count,supported_eave_chain_total_length_m,best_eave_chain_id,best_eave_chain_support_score,conflicting_raw_pair_count,orientation_support_score,retention_support_score,orientation_flag,retention_flag,split_flag,source_edge_ids,source_edge_overlap_m,source_edge_alignment_deg,source_edge_height_residual_m,building_part_ids,source_part_ids,crossed_part_ids,in_main_body,in_extension,crosses_main_extension_boundary
016980bc-6762-4022-bfbf-17df4112e10c,2,candidate_oblique,0,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-oblique::ceiling-oblique:0,15.282764,215.252153,45.622955,4,0.522842,1.0,0.999674,0.284142,1.455691,14.162382,0.980181,4,11.207369,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:7,0.986598,0,0.904406,0.809072,strong,keep,False,"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:3"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:5"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:6"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:7""]",11.207369,0.132278,0.060378,"[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]",False,True,True
016980bc-6762-4022-bfbf-17df4112e10c,2,candidate_oblique,1,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-oblique::ceiling-oblique:1,4.101564,35.233819,42.551585,3,0.95876,1.0,0.998641,2.837231,2.256056,6.008102,5.27359,3,11.312942,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:5,0.999033,0,0.991072,0.983232,strong,keep,False,"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:0"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:5"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:6""]",11.312942,0.107724,0.138025,"[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]",False,True,True
016980bc-6762-4022-bfbf-17df4112e10c,2,committed_oblique,0,016980bc-6762-4022-bfbf-17df4112e10c::roof-oblique::oblique:0,20.601378,35.235004,42.553298,5,0.74758,1.0,0.736649,35.235004,42.553298,6.008102,3.039058,3,11.312942,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:5,0.994042,0,0.81784,0.846362,strong,keep,False,"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:0"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:5"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::2:6""]",11.312942,0.107724,0.138078,"[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]",False,True,True
016980bc-6762-4022-bfbf-17df4112e10c,1,ridge_eave_plane_group,0,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::aac4bc192ba0,52.143996,214.674364,43.641743,1,0.206336,1.0,0.723669,34.674364,43.641743,0.0,3.034408,2,5.724963,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1,0.899994,0,0.703102,0.578989,medium,maybe,False,"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3""]",5.724963,0.000273,1.708667,"[""building-part:050632be812a77f69b64""]","[""building-part:050632be812a77f69b64""]","[""building-part:050632be812a77f69b64"", ""building-part:cb963af409986b275a0a""]",True,True,True
016980bc-6762-4022-bfbf-17df4112e10c,1,ridge_eave_plane_group,1,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::bca2326594b1,52.143996,215.251686,45.622988,1,0.206336,1.0,0.699377,35.251686,45.622988,0.0,3.034408,2,5.724963,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3,0.884608,0,0.690955,0.57413,medium,maybe,False,"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3""]",5.724963,0.577277,2.23498,"[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:691b17a5952ed4163e9d"", ""building-part:d3e361188eea04f3e5f2""]","[""building-part:050632be812a77f69b64"", ""building-part:cb963af409986b275a0a""]",False,True,True
016980bc-6762-4022-bfbf-17df4112e10c,1,ridge_eave_plane_group,2,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::d7b2b8ea7619,52.143996,35.233819,42.552298,1,0.206336,1.0,0.73666,144.766181,42.552298,0.0,3.034408,2,5.724963,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3,0.885084,0,0.709597,0.581587,medium,maybe,False,"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3""]",5.724963,0.55941,5.510131,"[""building-part:691b17a5952ed4163e9d""]","[""building-part:691b17a5952ed4163e9d""]","[""building-part:050632be812a77f69b64"", ""building-part:cb963af409986b275a0a""]",False,True,True
019e1376-9762-42d6-8520-b664b8c752df,1,candidate_oblique,0,019e1376-9762-42d6-8520-b664b8c752df::ceiling-oblique::ceiling-oblique:0,6.521849,13.078131,21.44088,3,0.999961,0.85,0.998951,2.340617,2.521662,20.000064,9.996897,4,34.395282,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6,0.868351,0,0.954467,0.969774,strong,keep,False,"[""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:13"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:5"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6""]",34.395282,0.299553,1.960135,"[""building-part:037f20b9496ee2ee1b90""]","[""building-part:037f20b9496ee2ee1b90""]","[""building-part:037f20b9496ee2ee1b90""]",True,False,False
019e1376-9762-42d6-8520-b664b8c752df,1,candidate_oblique,1,019e1376-9762-42d6-8520-b664b8c752df::ceiling-oblique::ceiling-oblique:1,43.15916,193.078132,24.540593,12,0.39683,0.901554,0.909667,13.078132,16.979887,22.091602,2.422795,5,36.818077,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:9,0.986416,0,0.804666,0.720976,strong,keep,False,"[""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:13"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:5"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:9""]",36.818077,0.272393,0.322379,"[""building-part:037f20b9496ee2ee1b90"", ""building-part:302fc8a7e1c24a231664"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:e5039da8ee765d60ca51""]","[""building-part:037f20b9496ee2ee1b90"", ""building-part:302fc8a7e1c24a231664"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:e5039da8ee765d60ca51""]","[""building-part:037f20b9496ee2ee1b90"", ""building-part:302fc8a7e1c24a231664"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:e5039da8ee765d60ca51""]",True,True,True
019e1376-9762-42d6-8520-b664b8c752df,1,committed_oblique,0,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:0,40.566081,13.080245,21.435317,5,0.972939,0.83,0.983652,2.34273,10.374495,28.128279,14.975951,4,34.395282,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6,0.936831,0,0.935414,0.951906,strong,keep,False,"[""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:13"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:5"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6""]",34.395282,0.299553,1.959481,"[""building-part:037f20b9496ee2ee1b90""]","[""building-part:037f20b9496ee2ee1b90""]","[""building-part:037f20b9496ee2ee1b90"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:6255026406c990fea39c""]",True,True,True
019e1376-9762-42d6-8520-b664b8c752df,1,committed_oblique,1,019e1376-9762-42d6-8520-b664b8c752df::roof-oblique::oblique:1,43.127889,193.078098,24.537093,9,0.884199,0.944444,0.909693,13.078098,24.537093,22.091602,21.842125,5,36.818077,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:9,0.986382,0,0.915019,0.924507,strong,keep,False,"[""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:13"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:5"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:9""]",36.818077,0.272393,0.322332,"[""building-part:037f20b9496ee2ee1b90"", ""building-part:302fc8a7e1c24a231664"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:6255026406c990fea39c"", ""building-part:e5039da8ee765d60ca51""]","[""building-part:037f20b9496ee2ee1b90"", ""building-part:302fc8a7e1c24a231664"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:6255026406c990fea39c"", ""building-part:e5039da8ee765d60ca51""]","[""building-part:037f20b9496ee2ee1b90"", ""building-part:302fc8a7e1c24a231664"", ""building-part:50cb0e6185a58e8a14d7"", ""building-part:6255026406c990fea39c"", ""building-part:e5039da8ee765d60ca51""]",True,True,True
