uuid,story,target_element_id,piece_id,piece_area_xz_m2,crossed_room_count,crossed_room_ids,crossed_room_area_m2,along_span_m,across_span_m,through_ratio,local_competitor_loss_room_count,local_competitor_loss_area_m2,local_competitor_loss_fraction,local_top_competitor_ids,local_top_competitor_piece_ids,chain_signature,chain_signature_id,chain_signature_size,local_signature_competitor_piece_count,local_signature_competitor_target_ids,mirror_partner_plane_group_id,mirror_support_score,creator_eave_proximity,best_supported_chain_id,best_supported_chain_score,best_supported_chain_height_residual_m,creator_source_room_ids,creator_touch_room_ids,creator_source_room_count,creator_touch_room_count
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::aac4bc192ba0,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::aac4bc192ba0#supported:0:0,4.70398,2,"[""room:5"", ""room:7""]",4.703961,1.345285,3.496645,2.599184,0,0.0,0.0,[],[],"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3""]",016980bc-6762-4022-bfbf-17df4112e10c::face-run-signature::1:0c32cde638e4,1,0,"[""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::aac4bc192ba0""]",016980bc-6762-4022-bfbf-17df4112e10c::plane-group::d7b2b8ea7619,0.5307,0.0286,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1,0.899994,2.506739,"[""room:7""]","[""room:10"", ""room:11"", ""room:5"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",1,7
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::bca2326594b1,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::bca2326594b1#supported:0:0,31.035021,3,"[""room:5"", ""room:6"", ""room:7""]",29.746912,5.861175,7.10792,1.212712,0,0.0,0.0,[],[],"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1""]",016980bc-6762-4022-bfbf-17df4112e10c::face-run-signature::1:91c93d430916,1,0,"[""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::bca2326594b1""]",016980bc-6762-4022-bfbf-17df4112e10c::plane-group::d7b2b8ea7619,0.9838,0.0555,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3,0.884608,4.066826,"[""room:10"", ""room:11"", ""room:9""]","[""room:10"", ""room:11"", ""room:5"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",3,7
016980bc-6762-4022-bfbf-17df4112e10c,1,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::d7b2b8ea7619,016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::d7b2b8ea7619#supported:0:0,11.069776,2,"[""room:5"", ""room:7""]",10.682901,4.075886,4.979451,1.221686,0,0.0,0.0,[],[],"[""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:1"", ""016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3""]",016980bc-6762-4022-bfbf-17df4112e10c::face-run-signature::1:5c5f6a39d13f,2,0,"[""016980bc-6762-4022-bfbf-17df4112e10c::ridge-eave-candidate::plane-group::d7b2b8ea7619""]",016980bc-6762-4022-bfbf-17df4112e10c::plane-group::bca2326594b1,0.9838,0.0555,016980bc-6762-4022-bfbf-17df4112e10c::eave-chain::1:3,0.885084,3.864672,"[""room:10""]","[""room:10"", ""room:11"", ""room:5"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",1,7
019e1376-9762-42d6-8520-b664b8c752df,1,019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::5678e46008d3,019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::5678e46008d3#supported:1:0,43.985261,1,"[""room:0""]",43.985261,9.996844,5.969168,0.597105,0,0.0,0.0,[],[],"[""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:13"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:5"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6""]",019e1376-9762-42d6-8520-b664b8c752df::face-run-signature::1:8638ab3d80a8,4,0,"[""019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::5678e46008d3""]",019e1376-9762-42d6-8520-b664b8c752df::plane-group::f7fb9fe5e820,0.9871,0.2741,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6,0.97835,0.057547,"[""room:0""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:4"", ""room:6""]",1,6
019e1376-9762-42d6-8520-b664b8c752df,1,019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::f7fb9fe5e820,019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::f7fb9fe5e820#supported:0:0,87.493181,5,"[""room:0"", ""room:1"", ""room:3"", ""room:4"", ""room:6""]",91.104265,15.167303,8.020864,0.528826,0,0.0,0.0,[],[],"[""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:13"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:2"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:5"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:6"", ""019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:9""]",019e1376-9762-42d6-8520-b664b8c752df::face-run-signature::1:dc87dc1a6ddc,5,0,"[""019e1376-9762-42d6-8520-b664b8c752df::ridge-eave-candidate::plane-group::f7fb9fe5e820""]",019e1376-9762-42d6-8520-b664b8c752df::plane-group::5678e46008d3,0.9871,0.2741,019e1376-9762-42d6-8520-b664b8c752df::eave-chain::1:9,0.98005,0.072478,"[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:6""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:4"", ""room:6""]",5,6
05cecad4-119e-4dd2-beaf-d4af36973644,0,05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa,05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa#supported:0:0,63.121224,7,"[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:4"", ""room:5"", ""room:6""]",62.979116,8.702756,7.957482,0.914363,0,0.0,0.0,[],[],"[""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:1"", ""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:3"", ""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:5"", ""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:6"", ""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:8"", ""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:9""]",05cecad4-119e-4dd2-beaf-d4af36973644::face-run-signature::0:f4c5743738d1,6,0,"[""05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa""]",,,,05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:12,0.986579,0.001176,"[""room:6""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:4"", ""room:5"", ""room:6""]",1,7
05cecad4-119e-4dd2-beaf-d4af36973644,0,05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa,05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa#supported:1:0,2.621565,2,"[""room:0"", ""room:6""]",2.560839,0.821451,3.304762,4.02308,0,0.0,0.0,[],[],"[""05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:12""]",05cecad4-119e-4dd2-beaf-d4af36973644::face-run-signature::0:2abf545fce52,1,0,"[""05cecad4-119e-4dd2-beaf-d4af36973644::ridge-eave-candidate::plane-group::a87263346daa""]",,,,05cecad4-119e-4dd2-beaf-d4af36973644::eave-chain::0:12,0.986579,0.001176,"[""room:6""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:4"", ""room:5"", ""room:6""]",1,7
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::2bf83e4a2f4d,0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::2bf83e4a2f4d#supported:0:0,124.982651,8,"[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:5"", ""room:6"", ""room:7"", ""room:8""]",128.62721,18.401977,10.217341,0.555231,0,0.0,0.0,[],[],"[""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:1"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:10"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:11"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:12"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:18"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:19"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:3"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:5"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:7"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:9""]",0a5032e9-85a0-4970-9143-c430bbdaa0f5::face-run-signature::0:155caf15a31c,10,0,"[""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::2bf83e4a2f4d"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b""]",0a5032e9-85a0-4970-9143-c430bbdaa0f5::plane-group::5ad85505a210,0.8229,0.094,0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:11,0.998675,0.000153,"[""room:2""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:5"", ""room:6"", ""room:7"", ""room:8""]",1,8
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b,0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b#supported:0:0,124.982651,8,"[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:5"", ""room:6"", ""room:7"", ""room:8""]",128.62721,18.401978,10.21734,0.555231,0,0.0,0.0,[],[],"[""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:1"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:10"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:11"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:12"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:18"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:19"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:3"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:5"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:7"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:9""]",0a5032e9-85a0-4970-9143-c430bbdaa0f5::face-run-signature::0:155caf15a31c,10,0,"[""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::2bf83e4a2f4d"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b""]",0a5032e9-85a0-4970-9143-c430bbdaa0f5::plane-group::5ad85505a210,0.9994,0.1234,0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:10,0.984475,0.000636,"[""room:2""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:5"", ""room:6"", ""room:7"", ""room:8""]",1,8
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210,0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210#supported:0:0,119.207145,7,"[""room:0"", ""room:2"", ""room:3"", ""room:5"", ""room:6"", ""room:7"", ""room:8""]",122.852096,16.338916,10.147431,0.621059,0,0.0,0.0,[],[],"[""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:1"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:10"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:11"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:12"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:18"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:19"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:3"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:5"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:7"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:9""]",0a5032e9-85a0-4970-9143-c430bbdaa0f5::face-run-signature::0:155caf15a31c,10,0,"[""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::2bf83e4a2f4d"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::5ad85505a210"", ""0a5032e9-85a0-4970-9143-c430bbdaa0f5::ridge-eave-candidate::plane-group::e9f227aa9b9b""]",0a5032e9-85a0-4970-9143-c430bbdaa0f5::plane-group::e9f227aa9b9b,0.9994,0.1234,0a5032e9-85a0-4970-9143-c430bbdaa0f5::eave-chain::0:9,0.982919,0.043489,"[""room:2""]","[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:5"", ""room:6"", ""room:7"", ""room:8""]",1,8
