uuid,story,room_index,n_planes,n_corners_total,trust_score,p50_dist_m,p95_dist_m
016980bc-6762-4022-bfbf-17df4112e10c,0,0,1,4,1.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,0,1,1,4,1.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,0,2,6,20,1.0,0.0,0.084
016980bc-6762-4022-bfbf-17df4112e10c,0,3,9,28,0.857,0.136,0.709
016980bc-6762-4022-bfbf-17df4112e10c,0,4,3,11,1.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,1,5,1,6,1.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,1,6,1,6,1.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,1,7,9,32,0.531,0.146,0.912
016980bc-6762-4022-bfbf-17df4112e10c,1,8,1,4,1.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,2,9,4,20,1.0,0.0,0.21
016980bc-6762-4022-bfbf-17df4112e10c,2,10,5,18,1.0,0.0,0.004
016980bc-6762-4022-bfbf-17df4112e10c,2,11,2,9,1.0,0.0,0.0
019e1376-9762-42d6-8520-b664b8c752df,1,0,4,20,0.85,0.0,0.551
019e1376-9762-42d6-8520-b664b8c752df,1,1,2,8,1.0,0.002,0.004
019e1376-9762-42d6-8520-b664b8c752df,1,2,15,59,0.78,0.143,0.782
019e1376-9762-42d6-8520-b664b8c752df,1,3,2,8,1.0,0.003,0.008
019e1376-9762-42d6-8520-b664b8c752df,1,4,4,15,0.8,0.0,0.94
019e1376-9762-42d6-8520-b664b8c752df,0,5,1,4,1.0,0.0,0.0
019e1376-9762-42d6-8520-b664b8c752df,1,6,2,8,1.0,0.003,0.009
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,0,1,4,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,1,1,4,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,2,1,4,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,3,1,4,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,4,1,4,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,5,1,4,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,6,2,8,1.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,7,1,4,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,0,1,8,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,1,1,4,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,2,1,6,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,3,1,4,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,4,1,6,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,5,1,6,1.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,6,2,8,1.0,0.008,0.018
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,0,1,8,1.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,1,1,4,1.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,2,4,17,0.471,1.025,2.151
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,3,2,10,1.0,0.0,0.126
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,6,2,10,0.6,0.201,2.589
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,7,1,6,1.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,8,4,18,1.0,0.0,0.245
0b75d30e-c50c-4fc6-88ff-fce983078aa4,1,0,33,109,0.229,1.13,2.969
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,1,2,14,1.0,0.0,0.0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,2,1,4,1.0,0.0,0.0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,3,4,12,1.0,0.0,0.0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,4,3,11,1.0,0.0,0.024
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,5,1,4,1.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,0,1,6,1.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,1,1,4,1.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,2,1,4,1.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,3,7,24,0.833,0.0,0.81
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,4,1,4,1.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,5,1,4,1.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,6,2,6,1.0,0.0,0.0
0d3f2993-8386-4130-8f1c-b2938c410828,1,0,8,30,0.467,0.614,1.731
0d3f2993-8386-4130-8f1c-b2938c410828,1,1,14,64,0.781,0.004,1.084
0d3f2993-8386-4130-8f1c-b2938c410828,1,2,3,12,1.0,0.0,0.138
