uuid,pair_index,story,plane_i,plane_j,same_room,overlap_area_m2,angle_deg,az_i,incl_i,az_j,incl_j,element_id
1d26eda3-c927-4cdf-a3b0-218036828a55,0,1,1:0:4,1:0:8,1,3.642,46.61,300.9,46.6,0.0,0.0,1d26eda3-c927-4cdf-a3b0-218036828a55::raw-disagreement::0
1d26eda3-c927-4cdf-a3b0-218036828a55,1,1,1:0:4,1:9:0,0,0.913,46.61,300.9,46.6,0.0,0.0,1d26eda3-c927-4cdf-a3b0-218036828a55::raw-disagreement::1
1d26eda3-c927-4cdf-a3b0-218036828a55,2,1,1:1:8,1:9:0,0,1.316,46.89,299.6,46.9,0.0,0.0,1d26eda3-c927-4cdf-a3b0-218036828a55::raw-disagreement::2
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,0,1,1:0:5,1:0:29,1,1.207,28.07,61.7,28.1,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::0
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,1,1:0:6,1:0:29,1,0.387,29.85,213.6,29.9,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::1
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,2,1,1:0:6,1:0:30,1,0.961,29.85,213.6,29.9,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::2
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,3,1,1:0:6,1:10:0,0,0.696,29.85,213.6,29.9,0.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::3
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,4,1,1:0:7,1:0:29,1,0.891,33.12,251.9,33.1,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::4
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,5,1,1:0:9,1:0:33,1,0.719,38.52,41.6,35.7,290.9,6.7,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::5
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,6,1,1:0:9,1:0:34,1,0.382,46.85,41.6,35.7,200.9,11.7,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::6
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,7,1,1:0:10,1:0:32,1,0.693,37.65,151.7,37.7,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::7
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,8,1,1:0:13,1:0:36,1,0.356,45.68,255.8,45.7,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::8
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,9,1,1:0:13,1:13:1,0,0.912,43.19,255.8,45.7,200.9,4.5,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::9
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,10,1,1:0:14,1:10:0,0,0.68,44.91,151.7,44.9,0.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::10
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,11,1,1:0:16,1:0:29,1,0.54,46.51,241.7,46.5,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::11
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,12,1,1:0:16,1:0:30,1,1.354,46.51,241.7,46.5,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::12
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,13,1,1:0:17,1:0:29,1,4.916,46.64,61.7,46.6,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::13
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,14,1,1:0:18,1:0:38,1,0.352,55.52,331.7,47.3,200.9,11.7,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::14
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,15,1,1:0:18,1:13:1,0,0.534,50.35,331.7,47.3,200.9,4.5,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::15
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,16,1,1:0:19,1:0:29,1,0.968,47.4,48.6,47.4,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::16
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,17,1,1:0:22,1:0:33,1,0.75,50.97,178.7,48.2,290.9,6.7,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::17
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,18,1,1:0:23,1:0:36,1,0.63,50.72,202.6,50.7,180.0,0.0,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::18
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,19,1,1:0:24,1:0:38,1,0.776,63.2,3.7,51.9,200.9,11.7,1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::raw-disagreement::19
3297bc28-5d39-4358-bd2e-0f1183cae489,0,1,1:5:3,1:6:1,0,0.804,38.83,86.1,38.8,180.0,0.0,3297bc28-5d39-4358-bd2e-0f1183cae489::raw-disagreement::0
5831141f-829c-4adb-9bae-289c2140c72d,0,2,2:9:0,2:10:8,0,0.643,51.85,299.1,51.9,180.0,0.0,5831141f-829c-4adb-9bae-289c2140c72d::raw-disagreement::0
5831141f-829c-4adb-9bae-289c2140c72d,1,2,2:10:1,2:10:8,1,2.565,51.17,118.7,51.2,180.0,0.0,5831141f-829c-4adb-9bae-289c2140c72d::raw-disagreement::1
72122129-7ee2-4a14-a645-23d44df3d2b5,0,1,1:4:0,1:4:6,1,2.098,46.4,49.3,0.4,111.5,46.6,72122129-7ee2-4a14-a645-23d44df3d2b5::raw-disagreement::0
72122129-7ee2-4a14-a645-23d44df3d2b5,1,1,1:4:4,1:4:6,1,1.903,46.57,0.0,0.0,111.5,46.6,72122129-7ee2-4a14-a645-23d44df3d2b5::raw-disagreement::1
a8aca518-ee19-4cef-8df9-1b574c2d43d1,0,0,0:2:3,0:2:9,1,0.414,46.29,47.3,8.6,289.4,41.8,a8aca518-ee19-4cef-8df9-1b574c2d43d1::raw-disagreement::0
b8cefbc4-bb4e-4d53-be56-990780166cae,0,2,2:13:8,2:14:2,0,0.403,33.16,0.0,0.0,190.4,33.2,b8cefbc4-bb4e-4d53-be56-990780166cae::raw-disagreement::0
b8cefbc4-bb4e-4d53-be56-990780166cae,1,2,2:13:8,2:14:6,0,0.539,48.35,0.0,0.0,257.7,48.4,b8cefbc4-bb4e-4d53-be56-990780166cae::raw-disagreement::1
b8def755-9829-4141-8ecb-3e71ef446d0d,0,0,0:3:0,0:4:2,0,0.488,24.84,0.0,0.0,321.2,24.8,b8def755-9829-4141-8ecb-3e71ef446d0d::raw-disagreement::0
bfd05652-9331-4260-886d-1b6779ee1bfa,0,0,0:4:0,0:4:3,1,0.898,40.08,359.0,40.1,0.0,0.0,bfd05652-9331-4260-886d-1b6779ee1bfa::raw-disagreement::0
d8308bfc-c2c1-42bd-8503-282571708b8c,0,0,0:13:6,0:13:7,1,0.643,27.32,131.9,27.3,180.0,0.0,d8308bfc-c2c1-42bd-8503-282571708b8c::raw-disagreement::0
f46b4d89-ae67-405c-af8b-eb7396b06ef8,0,0,0:1:1,0:1:6,1,0.533,38.87,0.0,0.0,80.9,38.9,f46b4d89-ae67-405c-af8b-eb7396b06ef8::raw-disagreement::0
f46b4d89-ae67-405c-af8b-eb7396b06ef8,1,0,0:1:2,0:1:6,1,0.359,58.04,198.0,30.1,80.9,38.9,f46b4d89-ae67-405c-af8b-eb7396b06ef8::raw-disagreement::1
f46b4d89-ae67-405c-af8b-eb7396b06ef8,2,0,0:4:0,0:4:4,1,0.523,51.3,180.0,0.0,130.6,51.3,f46b4d89-ae67-405c-af8b-eb7396b06ef8::raw-disagreement::2
f46b4d89-ae67-405c-af8b-eb7396b06ef8,3,0,0:4:1,0:4:3,1,1.387,48.51,80.8,48.5,0.0,0.0,f46b4d89-ae67-405c-af8b-eb7396b06ef8::raw-disagreement::3
