uuid,committed_oblique_strong,committed_oblique_weak,committed_oblique_none,committed_flat_strong,committed_flat_weak,committed_flat_none,candidate_oblique_strong,candidate_oblique_weak,candidate_oblique_none,candidate_minus_committed_weak
016980bc-6762-4022-bfbf-17df4112e10c,0,1,0,0,0,7,2,0,0,-1
019e1376-9762-42d6-8520-b664b8c752df,2,0,0,0,0,9,2,0,0,0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,0,0,0,0,9,0,0,0,0
05cecad4-119e-4dd2-beaf-d4af36973644,0,0,0,0,0,8,0,0,0,0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,2,0,0,0,0,9,2,0,0,0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,2,0,0,0,7,1,2,0,0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,0,0,0,0,9,0,0,0,0
0d3f2993-8386-4130-8f1c-b2938c410828,1,1,1,0,0,12,4,0,0,-1
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,0,0,0,0,14,0,0,0,0
0fe789ce-e653-4828-863c-0f6ce7fee21d,1,1,0,0,0,6,2,0,0,-1
107e8496-9bff-42bb-b776-720f44b70e55,1,0,0,0,0,9,1,0,0,0
10d27382-8fce-456b-897d-3d5194ff5de5,0,0,0,0,0,9,0,0,0,0
117d172e-00d6-436e-8df2-050f25977602,2,0,0,0,0,3,2,0,0,0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,0,0,0,0,8,0,0,0,0
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,3,0,0,0,6,4,0,0,-3
16784bad-2cd9-4f4c-bb26-60355981cfe2,2,2,0,0,0,0,4,0,0,-2
1825a812-09d0-4407-9265-182a07053cfc,0,0,0,0,0,11,0,0,0,0
1900be91-8684-4316-98e2-c4fef6e6296f,2,0,0,0,0,9,3,0,0,0
191e11c0-fd47-489c-9e3d-c8072713a761,0,0,0,0,0,7,0,0,0,0
193c3c70-2271-4c42-ab2c-586e1d64d4cb,0,0,0,0,0,6,0,0,0,0
19459014-f39b-4bf6-945e-c5b50930dea3,2,0,0,0,0,7,2,0,0,0
19bf6498-09eb-4c62-8fc8-8623942351ba,0,0,0,0,0,10,0,0,0,0
1a453338-ca2e-49d0-9bd2-da33c07fd348,0,0,0,0,0,11,0,0,0,0
1d26eda3-c927-4cdf-a3b0-218036828a55,2,1,0,0,0,11,3,0,0,-1
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,1,0,0,0,27,3,4,0,3
21af2a12-2a29-44b5-b703-fbaa208996e9,2,1,0,0,0,4,2,1,0,0
2388d90c-8cc9-4cca-b232-d658e184074d,1,1,0,0,0,12,2,0,0,-1
23cbb422-ada0-454d-8f91-30888256960d,0,0,0,0,0,11,0,0,0,0
24e8aaa7-ec15-4a72-be5f-c67b95a53411,0,0,0,0,0,10,0,0,0,0
