uuid,story,room_index,has_dormer,exposed,n_planes_scored,n_disagree,disagreement_rate,ceiling_type,raw_ceiling_source,n_walls_computed,n_doors,n_windows,n_openings,n_storages,n_floor_corners,floor_area_m2,raw_area_xz_m2,raw_area_vs_floor,n_raw_planes_room,n_raw_oblique,n_raw_near_vertical,incl_p50_deg,incl_range_deg,incl_std_deg,azimuth_range_deg
016980bc-6762-4022-bfbf-17df4112e10c,0,0,False,True,1,0,0.0,none,noMesh,4,2,2,0,3,30,18.63,16.76,0.9,1,0,0,0.0,0.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,1,6,False,True,1,0,0.0,none,noMesh,6,1,1,1,4,6,10.76,10.76,1.0,1,0,0,0.0,0.0,0.0,0.0
016980bc-6762-4022-bfbf-17df4112e10c,2,9,False,True,2,1,0.5,sloped,noMesh,8,2,1,0,0,8,12.65,12.66,1.001,4,3,2,67.66,90.0,37.29,180.01
016980bc-6762-4022-bfbf-17df4112e10c,2,10,False,True,4,1,0.25,sloped,noMesh,6,2,1,0,2,6,15.9,15.9,1.0,5,4,1,44.81,90.0,28.55,180.2
016980bc-6762-4022-bfbf-17df4112e10c,2,11,False,True,2,1,0.5,none,noMesh,6,2,0,1,0,4,4.7,4.7,1.001,2,1,0,22.1,44.19,22.1,0.0
019e1376-9762-42d6-8520-b664b8c752df,1,0,False,True,4,0,0.0,sloped,noMesh,8,3,4,0,10,8,44.03,44.03,1.0,4,3,0,20.63,23.96,9.59,179.73
019e1376-9762-42d6-8520-b664b8c752df,1,1,False,True,2,0,0.0,sloped,noMesh,4,1,1,0,0,4,9.3,9.3,1.0,2,1,0,12.39,24.78,12.39,0.0
019e1376-9762-42d6-8520-b664b8c752df,1,3,False,True,2,0,0.0,sloped,noMesh,4,0,1,1,2,4,3.61,3.61,1.0,2,1,0,13.3,26.6,13.3,0.0
019e1376-9762-42d6-8520-b664b8c752df,1,4,False,True,3,1,0.333,sloped,noMesh,6,2,6,2,8,6,19.34,19.34,1.0,4,3,1,12.22,90.0,35.8,90.0
019e1376-9762-42d6-8520-b664b8c752df,0,5,False,True,1,0,0.0,none,noMesh,4,1,0,0,1,4,2.5,2.5,1.0,1,0,0,0.0,0.0,0.0,0.0
019e1376-9762-42d6-8520-b664b8c752df,1,6,False,True,2,0,0.0,sloped,noMesh,4,1,1,0,1,26,15.42,8.47,0.549,2,1,0,12.23,24.46,12.23,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,0,False,True,1,0,0.0,none,noMesh,4,2,1,0,7,25,12.7,10.23,0.805,1,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,1,False,True,1,0,0.0,none,noMesh,4,1,1,0,2,4,9.28,9.28,1.0,1,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,2,False,True,1,0,0.0,none,noMesh,4,4,3,0,3,4,46.13,46.13,1.0,1,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,3,False,True,1,0,0.0,none,noMesh,4,1,1,0,1,4,13.0,13.0,1.0,1,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,4,False,True,1,0,0.0,none,noMesh,4,1,2,0,3,4,3.71,3.71,1.0,1,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,5,False,True,1,0,0.0,none,noMesh,5,1,1,0,3,17,9.08,7.9,0.869,1,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,6,False,True,2,0,0.0,none,noMesh,8,5,0,2,1,7,8.0,8.0,1.0,2,0,0,0.0,0.0,0.0,0.0
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,7,False,True,1,0,0.0,none,noMesh,5,3,0,0,3,4,10.79,10.79,1.0,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,0,False,True,1,0,0.0,none,noMesh,9,2,1,0,7,8,8.7,8.7,1.0,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,1,False,True,1,0,0.0,none,noMesh,5,1,0,0,2,4,3.02,3.02,1.0,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,2,False,True,1,0,0.0,none,noMesh,6,1,1,0,2,6,7.32,7.32,1.0,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,3,False,True,1,0,0.0,none,noMesh,4,1,1,0,3,4,8.6,8.6,1.0,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,4,False,True,1,0,0.0,none,noMesh,8,6,0,0,1,27,8.52,6.37,0.748,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,5,False,True,1,0,0.0,none,noMesh,6,2,3,0,3,6,31.29,31.29,1.0,1,0,0,0.0,0.0,0.0,0.0
05cecad4-119e-4dd2-beaf-d4af36973644,0,6,False,True,2,1,0.5,sloped,noMesh,4,2,0,0,2,4,4.86,4.86,1.0,2,1,0,12.29,24.57,12.29,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,0,False,True,1,0,0.0,none,noMesh,11,3,2,1,7,9,21.05,21.06,1.0,1,0,0,0.0,0.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,1,False,True,1,0,0.0,none,noMesh,4,2,1,0,2,7,5.54,5.4,0.975,1,0,0,0.0,0.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,2,False,True,3,0,0.0,sloped,noMesh,6,2,4,0,7,6,43.45,43.59,1.003,4,4,1,18.25,78.42,32.38,179.07
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,3,False,True,2,0,0.0,none,noMesh,11,5,2,0,3,9,18.89,22.38,1.185,2,0,0,0.0,0.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,6,False,True,2,0,0.0,none,noMesh,4,0,1,1,2,4,3.7,15.62,4.219,2,0,0,0.0,0.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,7,False,True,1,0,0.0,none,noMesh,6,1,1,0,1,40,15.44,9.67,0.627,1,0,0,0.0,0.0,0.0,0.0
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,8,False,True,1,0,0.0,none,noMesh,7,1,1,0,1,6,8.65,8.65,1.0,4,3,3,90.0,90.0,38.97,0.03
0b75d30e-c50c-4fc6-88ff-fce983078aa4,1,0,True,True,26,16,0.615,sloped,noMesh,9,0,4,0,2,7,37.49,37.49,1.0,33,29,9,64.4,90.0,30.02,296.45
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,1,False,True,2,0,0.0,none,noMesh,16,1,3,4,7,9,34.3,34.3,1.0,2,0,0,0.0,0.0,0.0,0.0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,2,False,True,1,0,0.0,none,noMesh,4,2,1,0,1,4,7.17,7.17,1.0,1,0,0,0.0,0.0,0.0,0.0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,4,False,True,3,2,0.667,sloped,noMesh,8,1,1,1,2,11,6.42,6.14,0.956,3,2,0,6.36,11.8,4.82,96.8
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,5,False,True,1,1,1.0,sloped,noMesh,4,2,0,0,3,4,8.62,8.62,1.0,1,1,0,6.38,0.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,0,False,True,1,0,0.0,none,noMesh,5,3,1,0,4,4,8.51,8.51,1.0,1,0,0,0.0,0.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,1,False,True,1,0,0.0,none,noMesh,4,1,1,0,1,18,8.68,7.48,0.861,1,0,0,0.0,0.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,2,False,True,1,0,0.0,none,noMesh,4,4,2,0,0,4,23.59,23.59,1.0,1,0,0,0.0,0.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,3,False,True,5,3,0.6,sloped,noMesh,6,2,0,0,0,9,6.54,5.42,0.829,7,5,2,16.21,90.0,37.31,180.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,4,False,True,1,0,0.0,none,noMesh,3,1,1,0,1,10,12.81,12.8,0.999,1,0,0,0.0,0.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,5,False,True,1,0,0.0,none,userScannedMesh,4,2,1,1,0,12,7.06,6.74,0.955,1,0,0,0.0,0.0,0.0,0.0
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,6,False,True,2,1,0.5,none,noMesh,4,1,1,0,1,4,5.22,5.22,1.0,2,1,0,5.52,3.44,1.72,0.0
0d3f2993-8386-4130-8f1c-b2938c410828,1,0,False,True,6,4,0.667,sloped,noMesh,8,1,4,0,1,9,38.55,38.55,1.0,8,6,2,52.98,90.0,32.2,260.35
0d3f2993-8386-4130-8f1c-b2938c410828,1,1,False,True,10,5,0.5,sloped,noMesh,18,6,1,1,2,16,26.92,27.02,1.004,14,12,4,49.38,90.0,29.95,269.85
0d3f2993-8386-4130-8f1c-b2938c410828,1,2,False,True,2,1,0.5,sloped,noMesh,3,1,1,0,1,7,9.27,9.49,1.024,3,2,1,47.97,90.0,36.77,179.95
