uuid,story,room_index,n_planes_scored,n_disagree,disagreement_rate,building_n_stories,is_top_story,is_ground_story,is_only_story,exterior_edge_frac,perimeter_m,max_floor_dim_m,floor_area_m2,aspect_ratio
016980bc-6762-4022-bfbf-17df4112e10c,0,0,1,0,0.0,3,False,True,False,0.161,55.49,9.94,18.63,1.21
016980bc-6762-4022-bfbf-17df4112e10c,1,6,1,0,0.0,3,False,False,False,0.485,13.24,4.53,10.76,1.01
016980bc-6762-4022-bfbf-17df4112e10c,2,9,2,1,0.5,3,True,False,False,0.768,15.17,5.17,12.65,1.05
016980bc-6762-4022-bfbf-17df4112e10c,2,10,4,1,0.25,3,True,False,False,0.791,18.23,6.25,15.9,1.08
016980bc-6762-4022-bfbf-17df4112e10c,2,11,2,1,0.5,3,True,False,False,0.387,11.45,4.43,4.7,1.25
019e1376-9762-42d6-8520-b664b8c752df,1,0,4,0,0.0,2,True,False,False,0.582,33.49,11.09,44.03,1.67
019e1376-9762-42d6-8520-b664b8c752df,1,1,2,0,0.0,2,True,False,False,0.639,12.52,4.29,9.3,1.33
019e1376-9762-42d6-8520-b664b8c752df,1,3,2,0,0.0,2,True,False,False,0.0,7.81,2.68,3.61,1.34
019e1376-9762-42d6-8520-b664b8c752df,1,4,3,1,0.333,2,True,False,False,0.539,18.11,5.77,19.34,1.18
019e1376-9762-42d6-8520-b664b8c752df,0,5,1,0,0.0,2,False,True,False,1.0,6.73,2.45,2.5,1.54
019e1376-9762-42d6-8520-b664b8c752df,1,6,2,0,0.0,2,True,False,False,0.066,56.14,12.7,15.42,1.51
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,0,1,0,0.0,1,True,False,True,0.056,49.02,9.18,12.7,1.1
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,1,1,0,0.0,1,True,False,True,0.484,12.52,4.48,9.28,1.21
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,2,1,0,0.0,1,True,False,True,0.526,27.96,10.04,46.13,1.21
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,3,1,0,0.0,1,True,False,True,0.623,14.45,4.86,13.0,1.06
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,4,1,0,0.0,1,True,False,True,0.187,7.79,2.7,3.71,1.13
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,5,1,0,0.0,1,True,False,True,0.722,16.65,4.42,9.08,1.17
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,6,2,0,0.0,1,True,False,True,0.084,14.01,4.41,8.0,1.08
0430ebc2-236b-4b5d-991f-3e97ad246b78,0,7,1,0,0.0,1,True,False,True,0.485,13.31,4.64,10.79,1.14
05cecad4-119e-4dd2-beaf-d4af36973644,0,0,1,0,0.0,1,True,False,True,0.42,12.9,4.14,8.7,1.03
05cecad4-119e-4dd2-beaf-d4af36973644,0,1,1,0,0.0,1,True,False,True,0.21,7.06,2.52,3.02,1.11
05cecad4-119e-4dd2-beaf-d4af36973644,0,2,1,0,0.0,1,True,False,True,0.483,11.55,3.84,7.32,1.04
05cecad4-119e-4dd2-beaf-d4af36973644,0,3,1,0,0.0,1,True,False,True,0.207,11.8,4.14,8.6,1.07
05cecad4-119e-4dd2-beaf-d4af36973644,0,4,1,0,0.0,1,True,False,True,0.033,41.74,7.81,8.52,1.11
05cecad4-119e-4dd2-beaf-d4af36973644,0,5,1,0,0.0,1,True,False,True,0.607,25.55,8.39,31.29,1.09
05cecad4-119e-4dd2-beaf-d4af36973644,0,6,2,1,0.5,1,True,False,True,0.921,9.2,3.38,4.86,1.18
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,0,1,0,0.0,1,True,False,True,0.559,20.41,5.61,21.05,1.01
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,1,1,0,0.0,1,True,False,True,0.701,9.5,2.93,5.54,1.23
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,2,3,0,0.0,1,True,False,True,0.526,30.33,10.76,43.45,1.76
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,3,2,0,0.0,1,True,False,True,0.539,18.25,6.29,18.89,1.6
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,6,2,0,0.0,1,True,False,True,0.0,7.7,2.17,3.7,1.01
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,7,1,0,0.0,1,True,False,True,0.086,77.64,14.15,15.44,1.45
0a5032e9-85a0-4970-9143-c430bbdaa0f5,0,8,1,0,0.0,1,True,False,True,0.188,12.21,3.84,8.65,1.34
0b75d30e-c50c-4fc6-88ff-fce983078aa4,1,0,26,16,0.615,2,True,False,False,1.0,24.82,8.01,37.49,1.0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,1,2,0,0.0,2,False,True,False,0.826,26.26,8.16,34.3,1.03
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,2,1,0,0.0,2,False,True,False,0.706,10.87,3.86,7.17,1.12
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,4,3,2,0.667,2,False,True,False,0.63,12.38,3.82,6.42,1.17
0b75d30e-c50c-4fc6-88ff-fce983078aa4,0,5,1,1,1.0,2,False,True,False,0.807,11.77,4.03,8.62,1.04
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,0,1,0,0.0,1,True,False,True,0.112,11.83,4.2,8.51,1.1
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,1,1,0,0.0,1,True,False,True,0.096,35.59,9.13,8.68,1.64
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,2,1,0,0.0,1,True,False,True,0.493,20.39,7.53,23.59,1.2
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,0,3,5,3,0.6,1,True,False,True,0.47,10.8,3.98,6.54,1.22
