uuid,total_edges,horizontal_edges,sloped_edges,ridge_or_hip_edges,eave_edges,isolated_horizontal_edges,pipeline_oblique_clusters,pipeline_oblique_surfaces,ridge_minus_clusters
016980bc-6762-4022-bfbf-17df4112e10c,135,97,38,27,49,21,2,1,25
019e1376-9762-42d6-8520-b664b8c752df,103,62,41,22,33,7,2,2,20
0430ebc2-236b-4b5d-991f-3e97ad246b78,36,36,0,0,28,8,0,0,0
05cecad4-119e-4dd2-beaf-d4af36973644,42,40,2,2,28,10,1,0,1
0a5032e9-85a0-4970-9143-c430bbdaa0f5,58,50,8,2,35,13,2,2,0
0b75d30e-c50c-4fc6-88ff-fce983078aa4,113,60,53,19,22,19,3,2,16
0ce3ac3a-93ce-4ac0-9704-3cf7d31a636d,46,36,10,2,26,8,0,0,2
0d3f2993-8386-4130-8f1c-b2938c410828,212,145,67,40,60,45,5,3,35
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,75,73,2,0,40,33,0,0,0
0fe789ce-e653-4828-863c-0f6ce7fee21d,119,74,45,20,40,14,2,2,18
107e8496-9bff-42bb-b776-720f44b70e55,38,33,5,0,28,5,1,1,-1
10d27382-8fce-456b-897d-3d5194ff5de5,49,49,0,0,34,15,0,0,0
117d172e-00d6-436e-8df2-050f25977602,200,106,94,46,34,26,2,2,44
121ff4c2-ec13-46b8-b557-b31775259e5d,34,32,2,0,27,5,1,0,-1
146ecf8b-ffa1-4239-ba58-040b61861fd9,93,53,40,18,29,6,4,4,14
16784bad-2cd9-4f4c-bb26-60355981cfe2,163,101,62,45,33,23,4,4,41
1825a812-09d0-4407-9265-182a07053cfc,70,64,6,2,36,26,0,0,2
1900be91-8684-4316-98e2-c4fef6e6296f,262,137,125,49,51,37,3,2,46
191e11c0-fd47-489c-9e3d-c8072713a761,39,39,0,0,27,12,0,0,0
193c3c70-2271-4c42-ab2c-586e1d64d4cb,34,34,0,0,25,9,0,0,0
19459014-f39b-4bf6-945e-c5b50930dea3,90,73,17,10,47,16,2,2,8
19bf6498-09eb-4c62-8fc8-8623942351ba,43,43,0,0,33,10,0,0,0
1a453338-ca2e-49d0-9bd2-da33c07fd348,46,46,0,0,30,16,0,0,0
1d26eda3-c927-4cdf-a3b0-218036828a55,188,118,70,34,55,29,3,3,31
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,597,320,277,107,92,121,9,2,98
21af2a12-2a29-44b5-b703-fbaa208996e9,136,93,43,26,56,11,3,3,23
2388d90c-8cc9-4cca-b232-d658e184074d,115,99,16,8,65,26,2,2,6
23cbb422-ada0-454d-8f91-30888256960d,62,48,14,4,34,10,0,0,4
24e8aaa7-ec15-4a72-be5f-c67b95a53411,49,49,0,0,35,14,0,0,0
287808db-3826-4351-b9a1-6f9831bdc870,145,95,50,22,45,28,2,2,20
294c5209-06ff-47ae-841b-e7e973b3699e,36,32,4,0,25,7,0,0,0
29865ccb-e7e8-4ad6-a01c-d632f20761b7,74,58,16,10,37,11,2,2,8
29a9cb5c-e7e7-4a01-b8ed-b2a2dd0edd2a,49,43,6,6,26,11,0,0,6
2d80b27f-ca29-4b3e-9197-ad3c4af7cbfb,57,47,10,2,26,19,0,0,2
2de0ff98-b554-446b-a501-b9fab4577f5a,52,52,0,0,31,21,0,0,0
2df1d2ed-54c9-41e9-9ed8-c4110e3868e0,42,42,0,0,34,8,0,0,0
2ea3b759-e047-424c-8034-f8ee5b811fb4,62,62,0,0,43,19,0,0,0
2f382701-addb-48a5-8749-0e8e7f988a10,148,109,39,18,54,37,2,2,16
3297bc28-5d39-4358-bd2e-0f1183cae489,173,115,58,26,55,34,6,2,20
36f034dc-17ec-4e9d-9ec0-e8b0139201c8,72,64,8,4,43,17,0,0,4
37e9355f-29a7-4303-abae-240c55df13e4,73,59,14,0,40,19,0,0,0
38158927-652c-4d01-9aa3-770956648d85,59,47,12,4,36,7,2,2,2
38f71f1d-2c71-4fcd-9997-83b2914416b0,129,95,34,22,34,39,2,2,20
3a034c99-8986-4749-aedb-0a5a04ea803f,68,56,12,10,37,9,2,2,8
3a576e1b-4b3e-4f5d-8c20-b39b157fcf03,151,103,48,24,38,41,2,2,22
3c74f488-a562-4bc4-9d7a-3f707fe85133,291,203,88,48,92,63,3,2,45
3e378d10-6d7f-451c-b5e8-705731e6f37e,128,59,69,26,27,6,3,2,23
