uuid,element_id,story,room_index,plane_index,n_corners,p50_dist_to_wall_top_m,p95_dist_to_wall_top_m,trusted_corner_fraction
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:0:0,0,0,0,4,0.0,0.0,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:1:0,0,1,0,4,0.0,0.0,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:0,0,2,0,3,0.0,0.076,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:1,0,2,1,3,0.0,0.0,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:2,0,2,2,3,0.0,0.0,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:3,0,2,3,3,0.0,0.076,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:4,0,2,4,5,0.014,0.014,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:2:5,0,2,5,3,0.0,0.076,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:0,0,3,0,3,0.0,0.222,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:1,0,3,1,3,0.0,0.0,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:2,0,3,2,4,0.136,0.623,0.75
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:3,0,3,3,3,0.0,0.222,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:4,0,3,4,3,0.136,0.652,0.667
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:5,0,3,5,3,0.136,0.652,0.667
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:6,0,3,6,3,0.0,0.638,0.667
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:7,0,3,7,3,0.136,0.235,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:3:8,0,3,8,3,0.136,0.235,1.0
016980bc-6762-4022-bfbf-17df4112e10c,016980bc-6762-4022-bfbf-17df4112e10c::ceiling-raw::0:4:0,0,4,0,4,0.0,0.0,1.0
